489265830	294
493446310	87883
502145847	3827
502352207	556
473904408	4572
727489924	90675
922429685	109376
654953300	363872
147861029	29760
917181319	1996
490048612	1883
16400	3702
151943003	307796
493433568	85698
573919923	4533
411029523	1224746
516007080	81408
913646875	217203
663137531	1883
763095106	1609758
506373682	1393
503461590	28095
499560245	542
40890317	155900
560477269	78327
304422957	77133
489905485	518
657877095	103855
497308737	95619
565466970	81985
727465841	90675
109700995	342610
499473061	1076
489901626	511
738811518	1545044
496589440	664683
657873115	103855
498131403	50340
495436562	1147684
916402335	1306990
727443150	90675
143328311	4577
685282759	3711
346921804	1003237
495013882	1144309
499398714	1355477
656061952	33942
489259684	293
502213068	337
742866475	303
658019178	3750
727443152	90675
566167695	3694
302775015	88036
567189717	72664
449443470	3659
674241110	50452
902196629	3562
586762737	13333
916320359	37919
319411811	999809
764350137	1609977
407883491	1179773
775233528	1231341
503965544	192
545378802	1391
523423653	1333698
917183699	1463880
518224143	1386
924124750	456999
738789955	1501230
805640800	1609979
489699231	408
493884910	161360
503362151	80867
490569402	1471
494064857	204799
806841303	342002
515470087	1565415
517206482	1132442
597917009	578457
494854956	311230
496163382	501479
516530858	28095
635634231	1131814
652743748	1249997
500097095	43663
703114123	984307
268564027	6238
492365617	51047
503274412	592316
516265452	1248916
697173273	4098
736733552	1280947
486073705	1292037
806929633	1355477
751837929	1108050
747083162	4182
630962942	1277687
470110884	101020
502636684	2057
308943808	4442
633425803	1458261
514715277	4555
729328088	28532
720031324	4432
743776009	51953
702474299	71139
567128083	72664
296088434	29760
682460235	1420914
255565735	3988
802753212	180498
848900458	4155
148906582	3332
720004530	4432
599566274	1192034
168042579	3218
565453402	81985
654634745	1492281
702474303	71139
255565731	3988
646399358	933084
731348276	3555
402217697	745407
546338062	1366050
566209208	3694
673527915	1398559
516338776	1134413
505057724	466153
758980583	237631
901808449	29655
917066003	60547
389940406	1171375
917364133	379
654709755	29448
697173271	4098
488699008	43
557341690	1121022
768197214	29172
836730524	48
488805735	1033
255565733	3988
761929578	1128425
628826377	741705
505260482	666685
500018445	119484
646286111	930990
498362432	1033734
917184142	330084
922541816	421767
502975057	305
503725012	106590
519049016	1312922
913711914	180195
255565729	3988
341889635	135651
550930098	1298855
800921011	1246595
809073925	1545691
827759850	27342
873224318	1169540
489555770	1224
111054396	33936
255714445	559295
916827874	217168
498791504	38312
639564127	1287689
646309743	1137138
647538695	1076596
652572412	204470
761757144	1245769
825924089	1443435
917312942	1463859
308490725	31234
518474124	189
640712472	1397275
916947867	505250
917707697	1553907
519072019	1268622
528205010	59799
540139293	1230476
636603407	717944
639244810	1033
639254531	1033
651245376	209897
655156779	219182
754991861	1243664
917020477	32008
926328887	1415544
491630440	43595
492406466	1385
518254404	1196323
597969379	732165
740065140	89050
852467028	1577075
921311650	1688405
493729127	130049
494630573	1883
504366246	2331
516337819	1134413
517949355	1118054
518245362	1211706
595774084	694068
598008779	717982
599348942	650164
754798638	1243662
764400428	1429043
808073159	684063
913454293	52
917009820	71657
302695047	578458
449551022	914234
517834394	380174
549632464	329
652941254	948107
655102530	1449063
671525783	44060
749875787	990650
754379913	745531
809268787	1522316
501028236	375286
519048287	1312922
652788929	329858
657609255	392015
657929038	360055
749901029	994086
751004341	930992
751029199	944289
802678759	54126
810850310	529705
504566103	171437
515693844	117681
517983380	1287657
559039483	497735
630172982	1381753
695530602	747525
749847123	664439
769799657	13333
797121361	1163419
916248655	360056
922779361	1684143
926245917	1293441
599094703	741275
914260396	1306850
550914112	53329
754174758	1084
874068753	1670619
499131299	1421
516092326	305977
518912095	420952
597903322	721885
737593181	1500897
739626512	13689
749769446	944288
828155700	1197874
501236506	366602
653100585	376489
736443982	1429916
754829558	703222
761945342	1314674
918331317	345341
921286535	1566026
489244277	287
522161489	381445
599353947	650164
913717785	211589
354544599	5480
489560410	286
497912420	286
501422862	375929
503218839	1006
517988627	1033736
518716959	35751
521067578	288022
644232079	397260
654564515	220343
764509631	1604022
835733888	398
448531406	1136231
496887402	303
497320731	932213
501062292	280
503725017	106590
504098617	380
515693225	117681
516060186	1229485
639538633	317
643813110	36746
648537123	667585
654305423	765414
654749232	392320
703481283	103733
736935855	69222
738212048	1500894
749010184	226910
765303179	29570
769913646	1513468
873957848	1109412
926330075	1415544
150866043	322104
294656260	284592
495129815	1144317
504215128	81475
505083206	303
515791972	68895
517529012	340680
518401990	281915
522020853	70993
539396272	46352
655216344	157782
666645941	196367
736894491	371042
754918450	1301100
254567613	644223
506335631	69223
510856095	53326
522060136	70998
544883691	1450
565467110	81985
653610420	1380376
654031257	1540
654510190	1229486
658467369	480813
663444796	36022
703200515	541095
749530990	1231063
780158531	1028989
873222670	1169540
913165788	229920
17557111	6239
260945122	306902
494164728	222814
670523110	1445613
672127238	42345
906318607	4903
560121327	6289
654849199	64976
737599615	81029
754413550	1041607
754712200	1492281
496324560	579922
502676256	125
794632863	1630014
406892431	77133
516843347	287535
633383785	1458263
125582990	39947
629084527	71139
663598497	211114
916984578	1340434
228485362	50452
697173277	4098
504597437	392734
522206783	1267534
531610534	1151395
691791104	5643
492552944	53363
380007835	323352
207367107	51351
306528388	198628
760110775	208443
515825223	29442
760096772	287986
751727041	765440
240012669	272630
531640813	1151400
116788260	3332
495330132	1144337
641463481	1460691
472588141	1130832
720031327	4432
731381814	29760
531124752	1151260
568869065	2711
895943067	95486
918152647	509635
742383009	1144884
30692072	3702
413930999	406819
923644725	3708
732804892	61180
207344452	545124
924610148	95486
